machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
kira;512;8;8;1;asandPile;seq;default;100;dynamic;cores;;none;149117
kira;512;16;16;1;asandPile;seq;default;100;dynamic;cores;;none;147130
kira;512;8;8;1;asandPile;tiled;default;100;dynamic;cores;;none;156704
kira;512;16;16;1;asandPile;tiled;default;100;dynamic;cores;;none;143657
kira;512;8;8;1;asandPile;omp_tiled;default;100;dynamic;cores;;none;148547
kira;512;16;16;1;asandPile;omp_tiled;default;100;dynamic;cores;;none;147123
kira;512;8;8;1;asandPile;omp_task;default;100;dynamic;cores;;none;299004
kira;512;16;16;1;asandPile;omp_task;default;100;dynamic;cores;;none;184769
kira;512;8;8;1;asandPile;lazy;default;100;dynamic;cores;;none;154844
kira;512;16;16;1;asandPile;lazy;default;100;dynamic;cores;;none;147968
kira;512;8;8;1;asandPile;omp_lazy;default;100;dynamic;cores;;none;157182
kira;512;16;16;1;asandPile;omp_lazy;default;100;dynamic;cores;;none;149541
kira;512;8;8;2;asandPile;seq;default;100;dynamic;cores;;none;149972
kira;512;16;16;2;asandPile;seq;default;100;dynamic;cores;;none;144515
kira;512;8;8;2;asandPile;tiled;default;100;dynamic;cores;;none;152005
kira;512;16;16;2;asandPile;tiled;default;100;dynamic;cores;;none;146757
kira;512;8;8;2;asandPile;omp_tiled;default;100;dynamic;cores;;none;90093
kira;512;16;16;2;asandPile;omp_tiled;default;100;dynamic;cores;;none;87133
kira;512;8;8;2;asandPile;omp_task;default;100;dynamic;cores;;none;426116
kira;512;16;16;2;asandPile;omp_task;default;100;dynamic;cores;;none;161009
kira;512;8;8;2;asandPile;lazy;default;100;dynamic;cores;;none;154424
kira;512;16;16;2;asandPile;lazy;default;100;dynamic;cores;;none;168228
kira;512;8;8;2;asandPile;omp_lazy;default;100;dynamic;cores;;none;95061
kira;512;16;16;2;asandPile;omp_lazy;default;100;dynamic;cores;;none;86559
kira;512;8;8;6;asandPile;seq;default;100;dynamic;cores;;none;143400
kira;512;16;16;6;asandPile;seq;default;100;dynamic;cores;;none;144317
kira;512;8;8;6;asandPile;tiled;default;100;dynamic;cores;;none;147384
kira;512;16;16;6;asandPile;tiled;default;100;dynamic;cores;;none;147087
kira;512;8;8;6;asandPile;omp_tiled;default;100;dynamic;cores;;none;45702
kira;512;16;16;6;asandPile;omp_tiled;default;100;dynamic;cores;;none;43996
kira;512;8;8;6;asandPile;omp_task;default;100;dynamic;cores;;none;564733
kira;512;16;16;6;asandPile;omp_task;default;100;dynamic;cores;;none;159756
kira;512;8;8;6;asandPile;lazy;default;100;dynamic;cores;;none;154957
kira;512;16;16;6;asandPile;lazy;default;100;dynamic;cores;;none;149123
kira;512;8;8;6;asandPile;omp_lazy;default;100;dynamic;cores;;none;46465
kira;512;16;16;6;asandPile;omp_lazy;default;100;dynamic;cores;;none;45260
kira;512;8;8;10;asandPile;seq;default;100;dynamic;cores;;none;148004
kira;512;16;16;10;asandPile;seq;default;100;dynamic;cores;;none;144321
kira;512;8;8;10;asandPile;tiled;default;100;dynamic;cores;;none;146652
kira;512;16;16;10;asandPile;tiled;default;100;dynamic;cores;;none;146356
kira;512;8;8;10;asandPile;omp_tiled;default;100;dynamic;cores;;none;31326
kira;512;16;16;10;asandPile;omp_tiled;default;100;dynamic;cores;;none;36254
kira;512;8;8;10;asandPile;omp_task;default;100;dynamic;cores;;none;639511
kira;512;16;16;10;asandPile;omp_task;default;100;dynamic;cores;;none;178443
kira;512;8;8;10;asandPile;lazy;default;100;dynamic;cores;;none;153423
kira;512;16;16;10;asandPile;lazy;default;100;dynamic;cores;;none;147779
kira;512;8;8;10;asandPile;omp_lazy;default;100;dynamic;cores;;none;37976
kira;512;16;16;10;asandPile;omp_lazy;default;100;dynamic;cores;;none;38767
kira;512;8;8;14;asandPile;seq;default;100;dynamic;cores;;none;148693
kira;512;16;16;14;asandPile;seq;default;100;dynamic;cores;;none;143319
kira;512;8;8;14;asandPile;tiled;default;100;dynamic;cores;;none;147354
kira;512;16;16;14;asandPile;tiled;default;100;dynamic;cores;;none;149994
kira;512;8;8;14;asandPile;omp_tiled;default;100;dynamic;cores;;none;37334
kira;512;16;16;14;asandPile;omp_tiled;default;100;dynamic;cores;;none;37238
kira;512;8;8;14;asandPile;omp_task;default;100;dynamic;cores;;none;573744
kira;512;16;16;14;asandPile;omp_task;default;100;dynamic;cores;;none;180690
kira;512;8;8;14;asandPile;lazy;default;100;dynamic;cores;;none;157044
kira;512;16;16;14;asandPile;lazy;default;100;dynamic;cores;;none;148952
kira;512;8;8;14;asandPile;omp_lazy;default;100;dynamic;cores;;none;40869
kira;512;16;16;14;asandPile;omp_lazy;default;100;dynamic;cores;;none;38050
kira;512;8;8;18;asandPile;seq;default;100;dynamic;cores;;none;142926
kira;512;16;16;18;asandPile;seq;default;100;dynamic;cores;;none;151858
kira;512;8;8;18;asandPile;tiled;default;100;dynamic;cores;;none;147943
kira;512;16;16;18;asandPile;tiled;default;100;dynamic;cores;;none;144480
kira;512;8;8;18;asandPile;omp_tiled;default;100;dynamic;cores;;none;41061
kira;512;16;16;18;asandPile;omp_tiled;default;100;dynamic;cores;;none;81495
kira;512;8;8;18;asandPile;omp_task;default;100;dynamic;cores;;none;618576
kira;512;16;16;18;asandPile;omp_task;default;100;dynamic;cores;;none;201244
kira;512;8;8;18;asandPile;lazy;default;100;dynamic;cores;;none;154074
kira;512;16;16;18;asandPile;lazy;default;100;dynamic;cores;;none;148827
kira;512;8;8;18;asandPile;omp_lazy;default;100;dynamic;cores;;none;40526
kira;512;16;16;18;asandPile;omp_lazy;default;100;dynamic;cores;;none;37087
kira;512;8;8;22;asandPile;seq;default;100;dynamic;cores;;none;145861
kira;512;16;16;22;asandPile;seq;default;100;dynamic;cores;;none;145165
kira;512;8;8;22;asandPile;tiled;default;100;dynamic;cores;;none;147533
kira;512;16;16;22;asandPile;tiled;default;100;dynamic;cores;;none;146105
kira;512;8;8;22;asandPile;omp_tiled;default;100;dynamic;cores;;none;36150
kira;512;16;16;22;asandPile;omp_tiled;default;100;dynamic;cores;;none;35967
kira;512;8;8;22;asandPile;omp_task;default;100;dynamic;cores;;none;647676
kira;512;16;16;22;asandPile;omp_task;default;100;dynamic;cores;;none;215040
kira;512;8;8;22;asandPile;lazy;default;100;dynamic;cores;;none;154227
kira;512;16;16;22;asandPile;lazy;default;100;dynamic;cores;;none;148859
kira;512;8;8;22;asandPile;omp_lazy;default;100;dynamic;cores;;none;39038
kira;512;16;16;22;asandPile;omp_lazy;default;100;dynamic;cores;;none;38698
kira;512;8;8;26;asandPile;seq;default;100;dynamic;cores;;none;150769
kira;512;16;16;26;asandPile;seq;default;100;dynamic;cores;;none;147960
kira;512;8;8;26;asandPile;tiled;default;100;dynamic;cores;;none;148111
kira;512;16;16;26;asandPile;tiled;default;100;dynamic;cores;;none;145595
kira;512;8;8;26;asandPile;omp_tiled;default;100;dynamic;cores;;none;109226
kira;512;16;16;26;asandPile;omp_tiled;default;100;dynamic;cores;;none;99203
