machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
kira;512;32;32;1;ssandPile;seq;default;100;dynamic;cores;;none;262444
kira;512;64;64;1;ssandPile;seq;default;100;dynamic;cores;;none;261113
kira;512;32;32;1;ssandPile;omp;default;100;dynamic;cores;;none;485177
kira;512;64;64;1;ssandPile;omp;default;100;dynamic;cores;;none;491481
kira;512;32;32;1;ssandPile;tiled;default;100;dynamic;cores;;none;266613
kira;512;64;64;1;ssandPile;tiled;default;100;dynamic;cores;;none;266744
kira;512;32;32;1;ssandPile;omp_tiled;default;100;dynamic;cores;;none;266603
kira;512;64;64;1;ssandPile;omp_tiled;default;100;dynamic;cores;;none;265502
kira;512;32;32;1;ssandPile;omp_taskloop;default;100;dynamic;cores;;none;263599
kira;512;64;64;1;ssandPile;omp_taskloop;default;100;dynamic;cores;;none;267195
kira;512;32;32;1;ssandPile;lazy;default;2;dynamic;cores;;none;3881
kira;512;64;64;1;ssandPile;lazy;default;5;dynamic;cores;;none;5591
kira;512;32;32;1;ssandPile;omp_lazy;default;2;dynamic;cores;;none;4681
kira;512;64;64;1;ssandPile;omp_lazy;default;5;dynamic;cores;;none;6722
kira;512;32;32;2;ssandPile;seq;default;100;dynamic;cores;;none;268709
kira;512;64;64;2;ssandPile;seq;default;100;dynamic;cores;;none;260786
kira;512;32;32;2;ssandPile;omp;default;100;dynamic;cores;;none;258329
kira;512;64;64;2;ssandPile;omp;default;100;dynamic;cores;;none;256373
kira;512;32;32;2;ssandPile;tiled;default;100;dynamic;cores;;none;261518
kira;512;64;64;2;ssandPile;tiled;default;100;dynamic;cores;;none;266442
kira;512;32;32;2;ssandPile;omp_tiled;default;100;dynamic;cores;;none;145041
kira;512;64;64;2;ssandPile;omp_tiled;default;100;dynamic;cores;;none;156110
kira;512;32;32;2;ssandPile;omp_taskloop;default;100;dynamic;cores;;none;146802
kira;512;64;64;2;ssandPile;omp_taskloop;default;100;dynamic;cores;;none;145328
kira;512;32;32;2;ssandPile;lazy;default;2;dynamic;cores;;none;4227
kira;512;64;64;2;ssandPile;lazy;default;5;dynamic;cores;;none;5832
kira;512;32;32;2;ssandPile;omp_lazy;default;2;dynamic;cores;;none;3603
kira;512;64;64;2;ssandPile;omp_lazy;default;5;dynamic;cores;;none;4735
kira;512;32;32;6;ssandPile;seq;default;100;dynamic;cores;;none;260358
kira;512;64;64;6;ssandPile;seq;default;100;dynamic;cores;;none;261630
kira;512;32;32;6;ssandPile;omp;default;100;dynamic;cores;;none;95365
kira;512;64;64;6;ssandPile;omp;default;100;dynamic;cores;;none;96989
kira;512;32;32;6;ssandPile;tiled;default;100;dynamic;cores;;none;262523
kira;512;64;64;6;ssandPile;tiled;default;100;dynamic;cores;;none;269771
kira;512;32;32;6;ssandPile;omp_tiled;default;100;dynamic;cores;;none;58919
kira;512;64;64;6;ssandPile;omp_tiled;default;100;dynamic;cores;;none;59684
kira;512;32;32;6;ssandPile;omp_taskloop;default;100;dynamic;cores;;none;60598
kira;512;64;64;6;ssandPile;omp_taskloop;default;100;dynamic;cores;;none;61129
kira;512;32;32;6;ssandPile;lazy;default;2;dynamic;cores;;none;5424
kira;512;64;64;6;ssandPile;lazy;default;5;dynamic;cores;;none;6135
kira;512;32;32;6;ssandPile;omp_lazy;default;2;dynamic;cores;;none;2087
