machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
kira;512;16;128;24;asandPile;omp_lazy;default;43;dynamic;cores;;none;67333
kira;512;32;128;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;115315
kira;512;64;128;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;114491
kira;512;128;128;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;140238
kira;512;256;128;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;138433
kira;512;1;256;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;7547
kira;512;2;256;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;7527
kira;512;4;256;24;asandPile;omp_lazy;default;5;dynamic;cores;;none;9768
kira;512;8;256;24;asandPile;omp_lazy;default;15;dynamic;cores;;none;84002
kira;512;16;256;24;asandPile;omp_lazy;default;43;dynamic;cores;;none;129355
kira;512;32;256;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;242794
kira;512;64;256;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;160430
kira;512;128;256;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;167311
kira;512;256;256;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;215082
kira;512;1;512;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;6654
kira;512;2;512;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;6096
kira;512;4;512;24;asandPile;omp_lazy;default;5;dynamic;cores;;none;12804
kira;512;8;512;24;asandPile;omp_lazy;default;15;dynamic;cores;;none;20796
kira;512;16;512;24;asandPile;omp_lazy;default;43;dynamic;cores;;none;45004
kira;512;32;512;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;110795
kira;512;64;512;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;108057
kira;512;128;512;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;111389
kira;512;256;512;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;143164
kira;512;512;512;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;458885
kira;512;1;1;24;asandPile;omp_lazy;default;100;static,1;cores;;none;261183
kira;512;2;1;24;asandPile;omp_lazy;default;6;static,1;cores;;none;12084
kira;512;4;1;24;asandPile;omp_lazy;default;8;static,1;cores;;none;10437
kira;512;8;1;24;asandPile;omp_lazy;default;17;static,1;cores;;none;13793
kira;512;16;1;24;asandPile;omp_lazy;default;47;static,1;cores;;none;23764
kira;512;32;1;24;asandPile;omp_lazy;default;100;static,1;cores;;none;38928
kira;512;64;1;24;asandPile;omp_lazy;default;100;static,1;cores;;none;41202
kira;512;128;1;24;asandPile;omp_lazy;default;100;static,1;cores;;none;40188
kira;512;256;1;24;asandPile;omp_lazy;default;100;static,1;cores;;none;39690
kira;512;1;2;24;asandPile;omp_lazy;default;2;static,1;cores;;none;4855
kira;512;2;2;24;asandPile;omp_lazy;default;100;static,1;cores;;none;62693
kira;512;4;2;24;asandPile;omp_lazy;default;7;static,1;cores;;none;5425
kira;512;8;2;24;asandPile;omp_lazy;default;11;static,1;cores;;none;7733
kira;512;16;2;24;asandPile;omp_lazy;default;35;static,1;cores;;none;17300
kira;512;32;2;24;asandPile;omp_lazy;default;97;static,1;cores;;none;32839
kira;512;64;2;24;asandPile;omp_lazy;default;100;static,1;cores;;none;33332
kira;512;128;2;24;asandPile;omp_lazy;default;100;static,1;cores;;none;56089
kira;512;256;2;24;asandPile;omp_lazy;default;100;static,1;cores;;none;54000
kira;512;1;4;24;asandPile;omp_lazy;default;2;static,1;cores;;none;32767
kira;512;2;4;24;asandPile;omp_lazy;default;2;static,1;cores;;none;3050
kira;512;4;4;24;asandPile;omp_lazy;default;100;static,1;cores;;none;41552
kira;512;8;4;24;asandPile;omp_lazy;default;19;static,1;cores;;none;11332
kira;512;16;4;24;asandPile;omp_lazy;default;37;static,1;cores;;none;17354
kira;512;32;4;24;asandPile;omp_lazy;default;100;static,1;cores;;none;30829
kira;512;64;4;24;asandPile;omp_lazy;default;100;static,1;cores;;none;32322
kira;512;128;4;24;asandPile;omp_lazy;default;100;static,1;cores;;none;34725
kira;512;256;4;24;asandPile;omp_lazy;default;100;static,1;cores;;none;35665
kira;512;1;8;24;asandPile;omp_lazy;default;2;static,1;cores;;none;3949
kira;512;2;8;24;asandPile;omp_lazy;default;2;static,1;cores;;none;2176
kira;512;4;8;24;asandPile;omp_lazy;default;5;static,1;cores;;none;4480
kira;512;8;8;24;asandPile;omp_lazy;default;100;static,1;cores;;none;79740
kira;512;16;8;24;asandPile;omp_lazy;default;71;static,1;cores;;none;26092
kira;512;32;8;24;asandPile;omp_lazy;default;100;static,1;cores;;none;34789
kira;512;64;8;24;asandPile;omp_lazy;default;100;static,1;cores;;none;37959
kira;512;128;8;24;asandPile;omp_lazy;default;100;static,1;cores;;none;42232
kira;512;256;8;24;asandPile;omp_lazy;default;100;static,1;cores;;none;35779
kira;512;1;16;24;asandPile;omp_lazy;default;2;static,1;cores;;none;5687
kira;512;2;16;24;asandPile;omp_lazy;default;2;static,1;cores;;none;5638
kira;512;4;16;24;asandPile;omp_lazy;default;5;static,1;cores;;none;16941
kira;512;8;16;24;asandPile;omp_lazy;default;15;static,1;cores;;none;19348
kira;512;16;16;24;asandPile;omp_lazy;default;100;static,1;cores;;none;71524
kira;512;32;16;24;asandPile;omp_lazy;default;100;static,1;cores;;none;57387
kira;512;64;16;24;asandPile;omp_lazy;default;100;static,1;cores;;none;39941
kira;512;128;16;24;asandPile;omp_lazy;default;100;static,1;cores;;none;38134
kira;512;256;16;24;asandPile;omp_lazy;default;100;static,1;cores;;none;38141
kira;512;1;32;24;asandPile;omp_lazy;default;2;static,1;cores;;none;3205
kira;512;2;32;24;asandPile;omp_lazy;default;2;static,1;cores;;none;3031
kira;512;4;32;24;asandPile;omp_lazy;default;5;static,1;cores;;none;5891
kira;512;8;32;24;asandPile;omp_lazy;default;15;static,1;cores;;none;12928
kira;512;16;32;24;asandPile;omp_lazy;default;43;static,1;cores;;none;28702
kira;512;32;32;24;asandPile;omp_lazy;default;100;static,1;cores;;none;61185
kira;512;64;32;24;asandPile;omp_lazy;default;100;static,1;cores;;none;56949
kira;512;128;32;24;asandPile;omp_lazy;default;100;static,1;cores;;none;56756
kira;512;256;32;24;asandPile;omp_lazy;default;100;static,1;cores;;none;59651
kira;512;1;64;24;asandPile;omp_lazy;default;2;static,1;cores;;none;5297
kira;512;2;64;24;asandPile;omp_lazy;default;2;static,1;cores;;none;5419
kira;512;4;64;24;asandPile;omp_lazy;default;5;static,1;cores;;none;8993
kira;512;8;64;24;asandPile;omp_lazy;default;15;static,1;cores;;none;21152
kira;512;16;64;24;asandPile;omp_lazy;default;43;static,1;cores;;none;37876
kira;512;32;64;24;asandPile;omp_lazy;default;100;static,1;cores;;none;71817
kira;512;64;64;24;asandPile;omp_lazy;default;100;static,1;cores;;none;235775
kira;512;128;64;24;asandPile;omp_lazy;default;100;static,1;cores;;none;175692
kira;512;256;64;24;asandPile;omp_lazy;default;100;static,1;cores;;none;130913
kira;512;1;128;24;asandPile;omp_lazy;default;2;static,1;cores;;none;5031
kira;512;2;128;24;asandPile;omp_lazy;default;2;static,1;cores;;none;5163
kira;512;4;128;24;asandPile;omp_lazy;default;5;static,1;cores;;none;6892
kira;512;8;128;24;asandPile;omp_lazy;default;15;static,1;cores;;none;18200
kira;512;16;128;24;asandPile;omp_lazy;default;43;static,1;cores;;none;50839
kira;512;32;128;24;asandPile;omp_lazy;default;100;static,1;cores;;none;105337
kira;512;64;128;24;asandPile;omp_lazy;default;100;static,1;cores;;none;124095
kira;512;128;128;24;asandPile;omp_lazy;default;100;static,1;cores;;none;179928
kira;512;256;128;24;asandPile;omp_lazy;default;100;static,1;cores;;none;172333
kira;512;1;256;24;asandPile;omp_lazy;default;2;static,1;cores;;none;7923
kira;512;2;256;24;asandPile;omp_lazy;default;2;static,1;cores;;none;4935
kira;512;4;256;24;asandPile;omp_lazy;default;5;static,1;cores;;none;9194
kira;512;8;256;24;asandPile;omp_lazy;default;15;static,1;cores;;none;21032
kira;512;16;256;24;asandPile;omp_lazy;default;43;static,1;cores;;none;55508
kira;512;32;256;24;asandPile;omp_lazy;default;100;static,1;cores;;none;233944
kira;512;64;256;24;asandPile;omp_lazy;default;100;static,1;cores;;none;277376
kira;512;128;256;24;asandPile;omp_lazy;default;100;static,1;cores;;none;440759
kira;512;256;256;24;asandPile;omp_lazy;default;100;static,1;cores;;none;412728
kira;512;1;512;24;asandPile;omp_lazy;default;2;static,1;cores;;none;20120
kira;512;2;512;24;asandPile;omp_lazy;default;2;static,1;cores;;none;16574
kira;512;4;512;24;asandPile;omp_lazy;default;5;static,1;cores;;none;18361
kira;512;8;512;24;asandPile;omp_lazy;default;15;static,1;cores;;none;26780
kira;512;16;512;24;asandPile;omp_lazy;default;43;static,1;cores;;none;71536
kira;512;32;512;24;asandPile;omp_lazy;default;100;static,1;cores;;none;107340
kira;512;64;512;24;asandPile;omp_lazy;default;100;static,1;cores;;none;100435
kira;512;128;512;24;asandPile;omp_lazy;default;100;static,1;cores;;none;104918
kira;512;256;512;24;asandPile;omp_lazy;default;100;static,1;cores;;none;104507
kira;512;512;512;24;asandPile;omp_lazy;default;100;static,1;cores;;none;202075
kira;512;32;32;1;asandPile;lazy;default;100;;cores;;none;144713
